run,time,src,dst,edge_type,distance
1,0.0,0,17,radio,232.59504551903075
1,0.0,0,26,radio,194.3171268828355
1,0.0,0,30,radio,184.43995499891014
1,0.0,0,31,radio,224.7827379938237
1,0.0,0,33,radio,29.408746998129647
1,0.0,0,38,radio,226.3781087031164
1,0.0,0,39,radio,56.09248256228279
1,0.0,0,44,radio,198.75584318454636
1,0.0,0,46,radio,151.4703627776735
1,0.0,0,52,radio,18.886611660115243
1,0.0,0,55,radio,243.63156712544452
1,0.0,0,66,radio,239.0734067185223
1,0.0,0,75,radio,130.68759084167095
1,0.0,0,83,radio,101.86028274062468
1,0.0,0,87,radio,131.9797503407246
1,0.0,0,89,radio,203.36905098859066
1,0.0,0,93,radio,228.87808326705292
1,0.0,0,97,radio,178.1426535111679
1,0.0,0,101,radio,234.46984027801952
1,0.0,0,108,radio,197.71650942700765
1,0.0,0,113,radio,124.67897697687454
1,0.0,0,118,radio,207.38884950739273
1,0.0,0,119,radio,238.53524624256266
1,0.0,0,122,radio,228.96137337987818
1,0.0,0,125,radio,42.275122708278474
1,0.0,0,129,radio,237.83951164598363
1,0.0,0,132,radio,238.83454105300595
1,0.0,0,133,radio,65.57428916885031
1,0.0,0,138,radio,183.8566357246863
1,0.0,0,145,radio,230.0340083552865
1,0.0,0,147,radio,231.95867304328155
1,0.0,0,151,radio,212.78730272269542
1,0.0,0,154,radio,187.6966643283785
1,0.0,0,159,radio,217.934807224546
1,0.0,0,160,radio,138.77855634066813
1,0.0,0,173,radio,107.40993063958285
1,0.0,0,174,radio,133.31366471596232
1,0.0,0,188,radio,183.01088628822058
1,0.0,0,194,radio,154.01600468782456
1,0.0,1,30,radio,215.72201602988974
1,0.0,1,31,radio,112.2079466882805
1,0.0,1,39,radio,245.60766478267738
1,0.0,1,43,radio,137.25530554408454
1,0.0,1,56,radio,133.39108403487845
1,0.0,1,66,radio,60.2128042861317
1,0.0,1,81,radio,212.76395958902438
1,0.0,1,85,radio,144.77629433025282
1,0.0,1,98,radio,207.40690923881974
1,0.0,1,115,radio,143.71966636476722
1,0.0,1,119,radio,152.05535209258503
1,0.0,1,121,radio,154.98330652041207
1,0.0,1,122,radio,77.87917886059152
1,0.0,1,147,radio,175.51671943151172
1,0.0,1,160,radio,224.57201183584743
1,0.0,1,173,radio,216.60170359440852
1,0.0,1,176,radio,62.8864190425882
1,0.0,1,177,radio,234.3042963754613
1,0.0,1,195,radio,107.94114878024969
1,0.0,1,198,radio,94.95190045491456
1,0.0,2,4,radio,172.36985264250828
1,0.0,2,8,radio,214.65096901714654
1,0.0,2,14,radio,168.54671904252535
1,0.0,2,16,radio,54.515246491234
1,0.0,2,25,radio,133.17299726295875
1,0.0,2,32,radio,213.52176493275815
1,0.0,2,35,radio,204.63656809084736
1,0.0,2,42,radio,77.50204771488302
1,0.0,2,47,radio,195.3533140235917
1,0.0,2,59,radio,107.53812812207585
1,0.0,2,63,radio,73.28378265346296
1,0.0,2,74,radio,188.31412320906784
1,0.0,2,90,radio,71.89955771769392
1,0.0,2,92,radio,127.74248627610162
1,0.0,2,102,radio,203.29909616129626
1,0.0,2,103,radio,129.73133622991784
1,0.0,2,106,radio,26.55631375021763
1,0.0,2,111,radio,40.59447253013636
1,0.0,2,112,radio,224.84238434957044
1,0.0,2,128,radio,188.22787386569502
1,0.0,2,131,radio,201.04316054021828
1,0.0,2,139,radio,141.34020376382657
1,0.0,2,141,radio,170.8688063983593
1,0.0,2,149,radio,151.8746726745443
1,0.0,2,150,radio,101.89494590017708
1,0.0,2,162,radio,135.27767628104792
1,0.0,2,165,radio,206.02105450657226
1,0.0,2,168,radio,212.63835613548173
1,0.0,2,185,radio,221.79395054870187
1,0.0,2,186,radio,41.20066140245815
1,0.0,2,192,radio,49.50264033362267
1,0.0,3,12,radio,232.99106356253245
1,0.0,3,13,radio,166.37575304112073
1,0.0,3,17,radio,211.1464496504737
1,0.0,3,18,radio,193.3183126348873
1,0.0,3,20,radio,156.22847531740172
1,0.0,3,21,radio,138.32881189397958
1,0.0,3,22,radio,191.7289933734593
1,0.0,3,26,radio,246.77302486292953
1,0.0,3,29,radio,156.56008686763047
1,0.0,3,37,radio,189.41416261726573
1,0.0,3,38,radio,233.60767132095648
1,0.0,3,50,radio,99.74915588615274
1,0.0,3,51,radio,129.52272387500193
1,0.0,3,61,radio,227.73225441293997
1,0.0,3,65,radio,171.63680520214774
1,0.0,3,68,radio,139.08395234533717
1,0.0,3,70,radio,241.25452140840798
1,0.0,3,73,radio,192.93228993613278
1,0.0,3,78,radio,50.81136191837409
1,0.0,3,82,radio,53.75468816763792
1,0.0,3,84,radio,174.90073556163222
1,0.0,3,89,radio,236.88541301650474
1,0.0,3,94,radio,165.91462985523611
1,0.0,3,101,radio,204.18278575825153
1,0.0,3,104,radio,159.67705220224974
1,0.0,3,117,radio,105.07065146842861
1,0.0,3,127,radio,152.34527626414942
1,0.0,3,136,radio,198.5127769187666
1,0.0,3,143,radio,234.8674590061382
1,0.0,3,144,radio,113.45270600563036
1,0.0,3,164,radio,224.35580001417392
1,0.0,3,166,radio,233.19882418228443
1,0.0,3,167,radio,57.4964285847391
1,0.0,3,179,radio,201.03299331204317
1,0.0,3,189,radio,56.7440657690299
1,0.0,3,190,radio,114.92192306083297
1,0.0,3,196,radio,222.99625333175445
1,0.0,3,197,radio,149.43187344070867
1,0.0,4,8,radio,238.28557698694226
1,0.0,4,16,radio,118.75474727353013
1,0.0,4,25,radio,109.1080863181093
1,0.0,4,32,radio,193.09732105857918
1,0.0,4,35,radio,137.688849584852
1,0.0,4,42,radio,103.86135229237102
1,0.0,4,47,radio,23.982364353833034
1,0.0,4,63,radio,216.27660645571453
1,0.0,4,90,radio,100.48959398863154
1,0.0,4,92,radio,185.78292844069395
1,0.0,4,103,radio,207.6554687457087
1,0.0,4,106,radio,177.06641268179575
1,0.0,4,111,radio,212.80994361166492
1,0.0,4,139,radio,228.70615667270522
1,0.0,4,150,radio,155.4008368703335
1,0.0,4,165,radio,72.11479737196798
1,0.0,4,186,radio,170.62120677102243
1,0.0,4,192,radio,140.06995430855252
1,0.0,5,19,radio,123.5449497146686
1,0.0,5,31,radio,240.50769717412373
1,0.0,5,34,radio,29.074239456948824
1,0.0,5,36,radio,112.73342893747179
1,0.0,5,39,radio,249.27327674662598
1,0.0,5,48,radio,141.17988702361254
1,0.0,5,60,radio,131.06399200390626
1,0.0,5,67,radio,88.48706233116795
1,0.0,5,74,radio,203.14732806512617
1,0.0,5,81,radio,153.2669860080768
1,0.0,5,83,radio,178.1191952036613
1,0.0,5,88,radio,106.77720028170812
1,0.0,5,93,radio,170.39113034427584
1,0.0,5,100,radio,41.020966590269424
1,0.0,5,102,radio,201.12857430012275
1,0.0,5,108,radio,114.70404090527936
1,0.0,5,112,radio,170.13549923516848
1,0.0,5,119,radio,198.96251958597628
1,0.0,5,128,radio,210.62030481413703
1,0.0,5,133,radio,214.37059616467926
1,0.0,5,141,radio,217.14602114706128
1,0.0,5,154,radio,109.94876488619596
1,0.0,5,155,radio,155.69190890987235
1,0.0,5,159,radio,185.35330183193398
1,0.0,5,160,radio,171.05614575337535
1,0.0,5,168,radio,196.90591306509825
1,0.0,5,171,radio,134.0902777982058
1,0.0,5,173,radio,209.83933973399743
1,0.0,6,11,radio,190.17328019466882
1,0.0,6,18,radio,146.98415730955494
1,0.0,6,26,radio,214.88098496609697
1,0.0,6,30,radio,125.05043982329693
1,0.0,6,43,radio,220.8209274502759
1,0.0,6,56,radio,129.04781284469723
1,0.0,6,65,radio,189.45351567073124
1,0.0,6,73,radio,162.70410259117628
1,0.0,6,75,radio,187.38541592130377
1,0.0,6,86,radio,53.88813320203253
1,0.0,6,87,radio,178.8292168522806
1,0.0,6,89,radio,219.15064453475836
1,0.0,6,91,radio,24.148873679739214
1,0.0,6,94,radio,175.5327094874343
1,0.0,6,98,radio,166.63624125621652
1,0.0,6,101,radio,245.79072093958305
1,0.0,6,107,radio,213.1343637239195
1,0.0,6,110,radio,38.87183684880353
1,0.0,6,115,radio,207.22821284757538
1,0.0,6,122,radio,206.10799353736866
1,0.0,6,127,radio,199.54987672258784
1,0.0,6,130,radio,158.93627653874367
1,0.0,6,137,radio,30.43370664247124
1,0.0,6,147,radio,101.19155745416712
1,0.0,6,164,radio,120.86191501047799
1,0.0,6,172,radio,50.14053250614715
1,0.0,6,179,radio,249.04614853476457
1,0.0,6,180,radio,139.37786660729168
1,0.0,6,181,radio,55.50142790955925
1,0.0,6,184,radio,95.3626866232281
1,0.0,6,190,radio,233.40265572610778
1,0.0,6,193,radio,76.186813163434
1,0.0,6,198,radio,201.08775820521743
1,0.0,7,27,radio,235.31516950677016
1,0.0,7,28,radio,212.13518543607987
1,0.0,7,41,radio,165.39093626919222
1,0.0,7,53,radio,213.35639784173335
1,0.0,7,62,radio,147.4341920993906
1,0.0,7,71,radio,160.25531754047978
1,0.0,7,79,radio,241.41890273961567
1,0.0,7,80,radio,227.91968431884072
1,0.0,7,95,radio,221.6694051961163
1,0.0,7,96,radio,247.32401925409508
1,0.0,7,105,radio,189.14936769653764
1,0.0,7,109,radio,209.66662514572982
1,0.0,7,135,radio,171.12118103846757
1,0.0,7,142,radio,116.81673553048815
1,0.0,7,146,radio,181.33161252247223
1,0.0,7,156,radio,33.40863511130021
1,0.0,7,169,radio,210.21599487194123
1,0.0,7,191,radio,225.99663559442652
1,0.0,8,9,radio,214.24556121422916
1,0.0,8,14,radio,203.79696759274896
1,0.0,8,16,radio,215.6373812677199
1,0.0,8,27,radio,173.10199652228164
1,0.0,8,32,radio,60.38484909312932
1,0.0,8,35,radio,120.74233433224651
1,0.0,8,42,radio,235.94638479959804
1,0.0,8,47,radio,244.31020445327292
1,0.0,8,57,radio,208.89270164369069
1,0.0,8,59,radio,229.74166470189945
1,0.0,8,71,radio,211.5050434386849
1,0.0,8,76,radio,127.28428418308367
1,0.0,8,90,radio,206.85772042638388
1,0.0,8,92,radio,86.91208258924644
1,0.0,8,99,radio,182.0169354757958
1,0.0,8,106,radio,240.91514709540363
1,0.0,8,109,radio,163.13352843606373
1,0.0,8,111,radio,231.96678318242027
1,0.0,8,114,radio,183.08644133304898
1,0.0,8,135,radio,211.19155759641532
1,0.0,8,139,radio,91.2808528663048
1,0.0,8,150,radio,116.99410455232344
1,0.0,8,162,radio,181.57675897537106
1,0.0,8,185,radio,128.51155590062712
1,0.0,8,186,radio,173.69133542004903
1,0.0,8,192,radio,174.88905654728654
1,0.0,8,199,radio,184.51184812905646
1,0.0,9,10,radio,240.98207837928527
1,0.0,9,14,radio,239.94112298645268
1,0.0,9,15,radio,222.69505270661045
1,0.0,9,24,radio,163.58863346822113
1,0.0,9,27,radio,62.041200020631514
1,0.0,9,54,radio,113.78719655567572
1,0.0,9,55,radio,171.96013753192923
1,0.0,9,57,radio,136.44277371850805
1,0.0,9,62,radio,228.3097249352291
1,0.0,9,71,radio,150.7214891778873
1,0.0,9,76,radio,88.69206559777489
1,0.0,9,79,radio,55.41023461419383
1,0.0,9,80,radio,224.11539884621942
1,0.0,9,96,radio,36.312449655730966
1,0.0,9,97,radio,241.8660393689035
1,0.0,9,99,radio,54.109027897385104
1,0.0,9,105,radio,82.72045575309653
1,0.0,9,109,radio,159.85244821397015
1,0.0,9,114,radio,79.92725755335285
1,0.0,9,126,radio,160.95531212109776
1,0.0,9,129,radio,222.6899748529332
1,0.0,9,132,radio,239.71224833120235
1,0.0,9,135,radio,196.02941641498603
1,0.0,9,139,radio,231.25697654341158
1,0.0,9,140,radio,111.25481113192367
1,0.0,9,142,radio,199.7498966207492
1,0.0,9,146,radio,189.64798232514886
1,0.0,9,153,radio,137.31068785786485
1,0.0,9,185,radio,145.4596799803987
1,0.0,9,199,radio,134.83194354454736
1,0.0,10,12,radio,136.70905237035328
1,0.0,10,15,radio,40.044118169838626
1,0.0,10,17,radio,215.22336606418924
1,0.0,10,22,radio,129.40475725412884
1,0.0,10,24,radio,125.48189231917081
1,0.0,10,28,radio,246.53837936516095
1,0.0,10,38,radio,181.26839382528883
1,0.0,10,40,radio,90.11975643553414
1,0.0,10,44,radio,204.62577379206172
1,0.0,10,54,radio,130.7273498545733
1,0.0,10,55,radio,194.9555077447159
1,0.0,10,61,radio,201.3453694525901
1,0.0,10,62,radio,233.68379704207138
1,0.0,10,68,radio,187.7492308905685
1,0.0,10,69,radio,214.87392885131507
1,0.0,10,72,radio,220.34424203958685
1,0.0,10,79,radio,194.017113162731
1,0.0,10,80,radio,153.81188673181282
1,0.0,10,96,radio,209.083594047931
1,0.0,10,97,radio,200.8061037418932
1,0.0,10,101,radio,244.3200828830901
1,0.0,10,105,radio,221.8752363379023
1,0.0,10,117,radio,233.58102341585894
1,0.0,10,118,radio,140.62228841830162
1,0.0,10,120,radio,117.88645723746214
1,0.0,10,123,radio,46.6163758780109
1,0.0,10,124,radio,140.4918403324549
1,0.0,10,126,radio,109.60404828289872
1,0.0,10,138,radio,169.66921700768233
1,0.0,10,140,radio,130.00006807690517
1,0.0,10,143,radio,152.62811405504564
1,0.0,10,145,radio,117.86655208327758
1,0.0,10,146,radio,186.91398155301277
1,0.0,10,148,radio,91.17191782561123
1,0.0,10,153,radio,119.39429173959695
1,0.0,10,166,radio,186.10375197722377
1,0.0,10,174,radio,229.74009946023781
1,0.0,10,182,radio,222.9107915736697
1,0.0,10,188,radio,240.98028633064573
1,0.0,10,194,radio,210.51946798336724
1,0.0,10,196,radio,172.5218945525466
1,0.0,11,18,radio,178.91524529787844
1,0.0,11,20,radio,162.0344608408964
1,0.0,11,50,radio,237.12780119589516
1,0.0,11,58,radio,242.19716348462876
1,0.0,11,64,radio,124.19318177742282
1,0.0,11,70,radio,126.94445281303152
1,0.0,11,73,radio,138.428279264029
1,0.0,11,77,radio,147.954613648916
1,0.0,11,84,radio,184.02501813612187
1,0.0,11,86,radio,194.67750666165827
1,0.0,11,91,radio,167.273183146612
1,0.0,11,94,radio,206.2562469356989
1,0.0,11,107,radio,59.42345748944604
1,0.0,11,110,radio,151.34929798317535
1,0.0,11,127,radio,167.87819453401326
1,0.0,11,130,radio,39.81786659277467
1,0.0,11,134,radio,165.76157485979667
1,0.0,11,136,radio,224.74889899619086
1,0.0,11,137,radio,166.70407913425524
1,0.0,11,144,radio,243.32824846285314
