run,time,node_id,energy,trust,drop_rate,mobility,forward_ratio,delay,degree,packets_received,packets_forwarded,packets_dropped,route_hits,label,attack
1,0.0,0,0.9423856303798227,0.9139972532183239,0.022813688212927757,0.0,0.9011406844106464,15.222747665487184,39.0,263,237,6,13,0,normal
1,0.0,1,0.9365297376524043,0.9761098177053308,0.0,0.0,1.0,23.071809674636913,20.0,60,60,0,3,0,normal
1,0.0,2,0.8693555411401613,0.9289951701897596,0.03418803418803419,0.0,0.9658119658119658,16.661802739325818,31.0,117,113,4,6,0,normal
1,0.0,3,0.9333495985147576,0.9169383896829133,0.00510204081632653,0.0,0.6989795918367347,17.630726517514372,38.0,196,137,1,7,0,normal
1,0.0,4,0.9163271222670685,0.9496413028052981,0.0,0.0,0.0,15.0,19.0,35,0,0,0,0,normal
1,0.0,5,0.9117830418835722,0.9654860908174527,0.020202020202020204,0.0,0.9797979797979798,17.94577806199788,28.0,198,194,4,10,0,normal
1,0.0,6,0.9085730226048828,0.9177741929253787,0.07246376811594203,0.0,0.927536231884058,16.93179071879809,33.0,138,128,10,7,0,normal
1,0.0,7,0.8753921480624827,0.9865332830557445,0.013333333333333334,0.0,0.5066666666666667,12.607165276058176,18.0,75,38,1,2,0,normal
1,0.0,8,0.9259706431956946,0.9256733809263695,0.005263157894736842,0.0,0.9947368421052631,19.800853705524155,29.0,190,189,1,10,0,normal
1,0.0,9,0.8679908379608249,0.8647034289159031,0.03125,0.0,0.96875,16.58980990535088,31.0,288,279,9,15,0,normal
1,0.0,10,0.9027627184048332,0.905830127245457,0.026022304832713755,0.0,0.8327137546468402,17.539825081381814,42.0,269,224,7,12,0,normal
1,0.0,11,0.9790420818838593,0.9587009727885798,0.01020408163265306,0.0,0.9897959183673469,15.735723431654984,32.0,98,97,1,5,0,normal
1,0.0,12,0.9459142818777262,0.927938363175161,0.022727272727272728,0.0,0.8636363636363636,17.75429013610716,45.0,176,152,4,8,0,normal
1,0.0,13,0.8539295307619295,0.9544591711987996,0.0,0.0,0.5,21.112594626783938,27.0,40,20,0,1,0,normal
1,0.0,14,0.93643538782477,0.8878133460541362,0.02127659574468085,0.0,0.9787234042553191,17.344036740501945,40.0,235,230,5,12,0,normal
1,0.0,15,0.8757126737246615,1.0,0.0,0.0,0.6060606060606061,16.772397112898023,39.0,99,60,0,3,0,normal
1,0.0,16,0.9053342030869442,1.0,0.0,0.0,0.0,15.0,28.0,57,0,0,0,0,normal
1,0.0,17,0.9027379530255475,0.9129660498884616,0.014018691588785047,0.0,0.8177570093457944,19.735204956487426,41.0,214,175,3,9,0,normal
1,0.0,18,0.9706376786819789,0.9479416311781427,0.014814814814814815,0.0,0.8444444444444444,17.698304513098204,43.0,135,114,2,6,0,normal
1,0.0,19,0.8746776183949319,0.9535692529226105,0.02,0.0,0.58,15.954429326882716,22.0,100,58,2,3,0,normal
1,0.0,20,0.8797337942131476,0.9659279860689227,0.0,0.0,1.0,14.676172084036832,38.0,79,79,0,4,0,normal
1,0.0,21,0.8943988134421655,0.9642955401107739,0.016666666666666666,0.0,0.65,11.97782863006784,29.0,60,39,1,2,0,normal
1,0.0,22,0.9079358873666745,1.0,0.0,0.0,1.0,19.989312677286772,41.0,40,40,0,2,0,normal
1,0.0,23,0.8931753631910867,0.9705812698141735,0.0,0.0,0.5128205128205128,11.141686049224306,21.0,39,20,0,1,0,normal
1,0.0,24,0.9393482468900013,0.8990398875190827,0.015810276679841896,0.0,0.83399209486166,14.469775875775547,42.0,253,211,4,11,0,normal
1,0.0,25,0.9668850306166505,0.9977163440551468,0.0,0.0,0.0,15.0,19.0,17,0,0,0,0,normal
1,0.0,26,0.933086552081651,0.9539648695290124,0.046052631578947366,0.0,0.7039473684210527,21.149672029817598,43.0,152,107,7,6,0,normal
1,0.0,27,0.9969664267328847,0.9450113649913753,0.02666666666666667,0.0,0.7466666666666667,13.098891395838933,28.0,75,56,2,3,0,normal
1,0.0,28,0.8986044208077427,0.975284031920633,0.03508771929824561,0.0,0.6578947368421053,16.557632430811243,32.0,114,75,4,4,0,normal
1,0.0,29,0.8697963529040029,1.0,0.0,0.0,1.0,15.0,26.0,0,0,0,0,0,normal
1,0.0,30,0.859344327709456,0.9245952644508044,0.0,0.0,1.0,15.58669821476698,42.0,155,155,0,8,0,normal
1,0.0,31,0.8771129820568302,0.9953819232173747,0.010416666666666666,0.0,0.8125,15.699852276427006,28.0,96,78,1,4,0,normal
1,0.0,32,0.922034065007461,0.9451927797868027,0.0,0.0,0.0,15.0,26.0,19,0,0,0,0,normal
1,0.0,33,0.8576002403410249,0.9986001152518011,0.0,0.0,0.0,15.0,34.0,39,0,0,0,0,normal
1,0.0,34,0.9017532149044529,0.9377156477908947,0.0,0.0,0.0,15.0,27.0,39,0,0,0,0,normal
1,0.0,35,0.9711674892082814,0.984202191867994,0.0,0.0,0.5128205128205128,21.964710439958214,20.0,39,20,0,1,0,normal
1,0.0,36,0.90019636212872,0.9815497580933338,0.0,0.0,0.0,15.0,17.0,20,0,0,0,0,normal
1,0.0,37,0.869242720499939,0.9587030340536734,0.0,0.0,1.0,15.0,23.0,0,0,0,0,0,normal
1,0.0,38,0.9746140889199407,0.9816934362978242,0.0273972602739726,0.0,0.726027397260274,16.922327572136613,41.0,73,53,2,3,0,normal
1,0.0,39,0.9252678186448491,0.945153689043634,0.00847457627118644,0.0,0.9915254237288136,15.761632620103624,35.0,118,117,1,6,0,normal
1,0.0,40,0.9492912759988011,1.0,0.0,0.0,1.0,9.023135403845995,40.0,40,40,0,2,0,normal
1,0.0,41,0.8665594674634086,1.0,0.0,0.0,1.0,15.0,18.0,0,0,0,0,0,normal
1,0.0,42,0.894841802984897,0.9631581168636947,0.025,0.0,0.725,16.002098491745965,25.0,80,58,2,3,0,normal
1,0.0,43,0.9778187439849295,0.9948540031069764,0.0,0.0,0.0,15.0,17.0,20,0,0,0,0,normal
1,0.0,44,0.9914828067301318,1.0,0.0,0.0,1.0,15.0,43.0,0,0,0,0,0,normal
1,0.0,45,0.8884756564689749,0.9688370084689969,0.016666666666666666,0.0,0.9833333333333333,15.019371470662662,12.0,60,59,1,3,0,normal
1,0.0,46,0.9256622152186628,0.9366848711388156,0.010362694300518135,0.0,0.8911917098445595,15.831277016842352,39.0,193,172,2,9,0,normal
1,0.0,47,0.9417609290290597,1.0,0.0,0.0,1.0,15.0,19.0,0,0,0,0,0,normal
1,0.0,48,0.9774555521983285,0.9886619909315228,0.0,0.0,0.0,15.0,20.0,20,0,0,0,0,normal
1,0.0,49,0.9411520628069574,0.9618632393561461,0.0,0.0,0.2702702702702703,16.86516066235477,14.0,74,20,0,1,0,normal
1,0.0,50,0.9086445586682317,0.9189678276007578,0.05,0.0,0.45,13.367689231259828,38.0,40,18,2,1,0,normal
1,0.0,51,0.9468759443973293,0.9772828573590998,0.0,0.0,1.0,12.168578971383115,27.0,20,20,0,1,0,normal
1,0.0,52,0.9545363821641741,0.9764509034235664,0.01694915254237288,0.0,0.9830508474576272,21.078274552867388,38.0,59,58,1,3,0,normal
1,0.0,53,0.9235498631151142,1.0,0.0,0.0,1.0,15.0,16.0,0,0,0,0,0,normal
1,0.0,54,0.8511788496605414,0.9390311962420467,0.025,0.0,0.975,10.743049395891672,39.0,40,39,1,2,0,normal
1,0.0,55,0.9152507440025437,0.9770179142016254,0.0,0.0,1.0,16.54897758451348,39.0,17,17,0,1,0,normal
1,0.0,56,0.8894502076520052,0.9622817104336254,0.05,0.0,0.95,23.804604505203113,24.0,20,19,1,1,0,normal
1,0.0,57,0.9054364043412807,0.9984922199526686,0.013333333333333334,0.0,0.9866666666666667,14.921934460964051,38.0,75,74,1,4,0,normal
1,0.0,58,0.9704530519511887,0.996950112831938,0.0,0.0,0.0,15.0,19.0,38,0,0,0,0,normal
1,0.0,59,0.8516500882587813,0.9756869893562545,0.008695652173913044,0.0,0.8173913043478261,15.8002010557906,38.0,115,94,1,5,0,normal
1,0.0,60,0.9541720237712962,0.9487880860573307,0.01694915254237288,0.0,0.6440677966101694,11.478450374173427,26.0,59,38,1,2,0,normal
1,0.0,61,0.9401203953011167,1.0,0.0,0.0,1.0,15.0,30.0,0,0,0,0,0,normal
1,0.0,62,0.9561522769216456,0.9765711276867068,0.021739130434782608,0.0,0.9782608695652174,17.441421073385754,31.0,92,90,2,5,0,normal
1,0.0,63,0.87093781058049,0.9884576189894075,0.0,0.0,0.5,20.34641800591036,33.0,40,20,0,1,0,normal
1,0.0,64,0.868697159830818,1.0,0.017857142857142856,0.0,0.6964285714285714,18.656999371108427,23.0,56,39,1,2,0,normal
1,0.0,65,0.8501614788921681,0.9819754064519274,0.0,0.0,0.0,15.0,42.0,20,0,0,0,0,normal
