run,time,node_id,x,y,speed
1,0.00,0,389.63,402.33,0.00
1,0.00,1,296.83,120.89,0.00
1,0.00,2,136.79,804.81,0.00
1,0.00,3,824.83,348.13,0.00
1,0.00,4,89.69,970.62,0.00
1,0.00,5,110.31,417.88,0.00
1,0.00,6,554.37,141.70,0.00
1,0.00,7,686.29,984.46,0.00
1,0.00,8,321.28,914.53,0.00
1,0.00,9,503.29,801.51,0.00
1,0.00,10,660.79,619.12,0.00
1,0.00,11,724.58,56.88,0.00
1,0.00,12,636.04,484.67,0.00
1,0.00,13,915.59,487.57,0.00
1,0.00,14,279.46,715.07,0.00
1,0.00,15,672.96,657.27,0.00
1,0.00,16,114.19,854.42,0.00
1,0.00,17,622.17,407.39,0.00
1,0.00,18,673.17,228.25,0.00
1,0.00,19,74.20,299.73,0.00
1,0.00,20,813.54,192.31,0.00
1,0.00,21,936.02,265.84,0.00
1,0.00,22,704.33,497.26,0.00
1,0.00,23,948.23,588.11,0.00
1,0.00,24,537.32,641.50,0.00
1,0.00,25,27.53,880.95,0.00
1,0.00,26,578.16,355.26,0.00
1,0.00,27,485.92,861.07,0.00
1,0.00,28,812.17,813.71,0.00
1,0.00,29,934.51,459.85,0.00
1,0.00,30,476.82,239.80,0.00
1,0.00,31,252.71,224.06,0.00
1,0.00,32,282.54,960.85,0.00
1,0.00,33,362.01,392.23,0.00
1,0.00,34,81.56,422.21,0.00
1,0.00,35,226.16,988.90,0.00
1,0.00,36,19.09,351.64,0.00
1,0.00,37,990.98,257.18,0.00
1,0.00,38,612.04,444.53,0.00
1,0.00,39,352.78,360.04,0.00
1,0.00,40,748.31,597.63,0.00
1,0.00,41,847.92,949.39,0.00
1,0.00,42,90.22,866.76,0.00
1,0.00,43,377.33,9.72,0.00
1,0.00,44,586.67,428.39,0.00
1,0.00,45,3.85,152.04,0.00
1,0.00,46,416.21,551.45,0.00
1,0.00,47,90.46,994.59,0.00
1,0.00,48,65.65,283.95,0.00
1,0.00,49,950.85,874.35,0.00
1,0.00,50,856.88,253.67,0.00
1,0.00,51,935.99,414.61,0.00
1,0.00,52,397.23,419.62,0.00
1,0.00,53,898.54,962.76,0.00
1,0.00,54,560.79,703.32,0.00
1,0.00,55,466.37,633.56,0.00
1,0.00,56,429.65,108.56,0.00
1,0.00,57,394.66,718.95,0.00
1,0.00,58,965.22,29.46,0.00
1,0.00,59,201.18,718.68,0.00
1,0.00,60,61.41,539.48,0.00
1,0.00,61,856.92,573.59,0.00
1,0.00,62,727.80,842.99,0.00
1,0.00,63,83.57,754.43,0.00
1,0.00,64,844.00,22.78,0.00
1,0.00,65,660.48,298.65,0.00
1,0.00,66,299.10,181.06,0.00
1,0.00,67,42.72,360.77,0.00
1,0.00,68,721.80,441.56,0.00
1,0.00,69,844.61,730.39,0.00
1,0.00,70,841.03,107.42,0.00
1,0.00,71,529.81,949.88,0.00
1,0.00,72,827.82,762.83,0.00
1,0.00,73,708.32,194.35,0.00
1,0.00,74,150.56,617.00,0.00
1,0.00,75,488.83,317.25,0.00
1,0.00,76,435.89,859.16,0.00
1,0.00,77,869.09,25.14,0.00
1,0.00,78,833.42,398.21,0.00
1,0.00,79,555.08,781.81,0.00
1,0.00,80,723.45,759.59,0.00
1,0.00,81,143.32,268.21,0.00
1,0.00,82,857.30,305.29,0.00
1,0.00,83,287.77,402.57,0.00
1,0.00,84,863.51,177.56,0.00
1,0.00,85,152.06,119.54,0.00
1,0.00,86,581.12,188.48,0.00
1,0.00,87,475.75,302.32,0.00
1,0.00,88,68.10,515.96,0.00
1,0.00,89,588.16,358.23,0.00
1,0.00,90,118.37,874.31,0.00
1,0.00,91,578.21,137.85,0.00
1,0.00,92,246.27,870.63,0.00
1,0.00,93,216.04,551.50,0.00
1,0.00,94,684.73,259.25,0.00
1,0.00,95,864.55,852.70,0.00
1,0.00,96,536.77,787.45,0.00
1,0.00,97,468.22,562.20,0.00
1,0.00,98,465.77,0.57,0.00
1,0.00,99,451.16,787.01,0.00
