run,model,accuracy,mal_precision,mal_recall,mal_f1
1,RandomForest,0.965,0.8739130434782608,0.78515625,0.8271604938271605
1,SVM,0.9745833333333334,0.975609756097561,0.78125,0.8676789587852495
1,XGBoost,0.9754166666666667,0.9949748743718593,0.7734375,0.8703296703296703
2,RandomForest,0.9645833333333333,0.8669527896995708,0.7890625,0.8261758691206544
2,SVM,0.97375,0.9037656903765691,0.84375,0.8727272727272727
2,XGBoost,0.97875,1.0,0.80078125,0.8893709327548807
3,RandomForest,0.9695833333333334,0.8995633187772926,0.8046875,0.8494845360824742
3,SVM,0.95625,0.7542087542087542,0.875,0.810126582278481
3,XGBoost,0.9816666666666667,1.0,0.828125,0.905982905982906
4,RandomForest,0.9704166666666667,0.9111111111111111,0.80078125,0.8523908523908524
4,SVM,0.9404166666666667,0.672782874617737,0.859375,0.7547169811320755
4,XGBoost,0.975,0.9949494949494949,0.76953125,0.8678414096916299
5,RandomForest,0.97,0.9220183486238532,0.78515625,0.8481012658227848
5,SVM,0.9575,0.7851851851851852,0.828125,0.8060836501901141
5,XGBoost,0.9754166666666667,1.0,0.76953125,0.869757174392936
