run,model,accuracy,mal_precision,mal_recall,mal_f1
1,Static-GCN,0.8933333333333333,0.0,0.0,0.0
1,GraphSAGE,0.97625,0.9950248756218906,0.78125,0.87527352297593
1,GAT,0.8945833333333333,1.0,0.01171875,0.023166023166023165
1,EvolveGCN-H,0.895,0.7,0.02734375,0.05263157894736842
2,Static-GCN,0.8933333333333333,0.0,0.0,0.0
2,GraphSAGE,0.9633333333333334,1.0,0.65625,0.7924528301886793
2,GAT,0.8933333333333333,0.0,0.0,0.0
2,EvolveGCN-H,0.8929166666666667,0.3333333333333333,0.00390625,0.007722007722007722
3,Static-GCN,0.8933333333333333,0.0,0.0,0.0
3,GraphSAGE,0.98125,1.0,0.82421875,0.9036402569593148
3,GAT,0.8916666666666667,0.0,0.0,0.0
3,EvolveGCN-H,0.88875,0.35135135135135137,0.05078125,0.08873720136518772
4,Static-GCN,0.8933333333333333,0.0,0.0,0.0
4,GraphSAGE,0.97625,1.0,0.77734375,0.8747252747252747
4,GAT,0.8933333333333333,0.0,0.0,0.0
4,EvolveGCN-H,0.895,1.0,0.015625,0.03076923076923077
5,Static-GCN,0.8933333333333333,0.0,0.0,0.0
5,GraphSAGE,0.9654166666666667,1.0,0.67578125,0.8065268065268065
5,GAT,0.8783333333333333,0.16666666666666666,0.03515625,0.05806451612903226
5,EvolveGCN-H,0.8925,0.25,0.00390625,0.007692307692307693
